"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"64","Bonilla Island","North Coast",2019-03-05,2019,3,30.8,6.5,53.4928,-130.636,1,1
"65","Bonilla Island","North Coast",2019-03-06,2019,3,30.9,6.6,53.4928,-130.636,1,1
"66","Bonilla Island","North Coast",2019-03-07,2019,3,30.9,6.7,53.4928,-130.636,1,1
"67","Bonilla Island","North Coast",2019-03-08,2019,3,31.2,6.7,53.4928,-130.636,1,1
"68","Bonilla Island","North Coast",2019-03-09,2019,3,31,6.9,53.4928,-130.636,1,1
"69","Bonilla Island","North Coast",2019-03-10,2019,3,30.6,6,53.4928,-130.636,1,1
"70","Bonilla Island","North Coast",2019-03-11,2019,3,30.9,6.9,53.4928,-130.636,1,1
"71","Bonilla Island","North Coast",2019-03-12,2019,3,31.1,7.2,53.4928,-130.636,1,1
"72","Bonilla Island","North Coast",2019-03-13,2019,3,31.1,6.9,53.4928,-130.636,1,1
"73","Bonilla Island","North Coast",2019-03-14,2019,3,31,6.7,53.4928,-130.636,1,1
"74","Bonilla Island","North Coast",2019-03-15,2019,3,29.8,6.6,53.4928,-130.636,1,1
"75","Bonilla Island","North Coast",2019-03-16,2019,3,29.7,7,53.4928,-130.636,1,1
"76","Bonilla Island","North Coast",2019-03-17,2019,3,30.9,7.4,53.4928,-130.636,1,1
"77","Bonilla Island","North Coast",2019-03-18,2019,3,30.8,7.3,53.4928,-130.636,1,1
"78","Bonilla Island","North Coast",2019-03-19,2019,3,30.9,7.4,53.4928,-130.636,1,1
"79","Bonilla Island","North Coast",2019-03-20,2019,3,30.8,7.5,53.4928,-130.636,1,1
"80","Bonilla Island","North Coast",2019-03-21,2019,3,31.1,7.4,53.4928,-130.636,1,1
"81","Bonilla Island","North Coast",2019-03-22,2019,3,31.2,7.4,53.4928,-130.636,1,1
"82","Bonilla Island","North Coast",2019-03-23,2019,3,31.5,7.6,53.4928,-130.636,1,1
"83","Bonilla Island","North Coast",2019-03-24,2019,3,31.1,8.1,53.4928,-130.636,1,1
"84","Bonilla Island","North Coast",2019-03-25,2019,3,31.3,7.8,53.4928,-130.636,1,1
"85","Bonilla Island","North Coast",2019-03-26,2019,3,31.3,7.9,53.4928,-130.636,1,1
"86","Bonilla Island","North Coast",2019-03-27,2019,3,31.1,7.5,53.4928,-130.636,1,1
"87","Bonilla Island","North Coast",2019-03-28,2019,3,30.9,7.5,53.4928,-130.636,1,1
"88","Bonilla Island","North Coast",2019-03-29,2019,3,31.1,7.5,53.4928,-130.636,1,1
"89","Bonilla Island","North Coast",2019-03-30,2019,3,31.2,7.6,53.4928,-130.636,1,1
"90","Bonilla Island","North Coast",2019-03-31,2019,3,31.2,7.6,53.4928,-130.636,1,1
"91","Bonilla Island","North Coast",2019-04-01,2019,4,31.2,8.1,53.4928,-130.636,1,1
"92","Bonilla Island","North Coast",2019-04-02,2019,4,31,8.3,53.4928,-130.636,1,1
"93","Bonilla Island","North Coast",2019-04-03,2019,4,31.2,8,53.4928,-130.636,1,1
